Title,Rating,Votes,Duration,Genre
Moana 2,6.7,87000,100.0,Fantasy
Flow,7.9,58000,85.0,Fantasy
Nosferatu,7.3,178000,132.0,Fantasy
Wicked,7.5,141000,160.0,Fantasy
Sonic the Hedgehog 3,6.9,52000,110.0,Fantasy
Parthenope,6.7,9000,137.0,Fantasy
Mufasa: The Lion King,6.6,47000,118.0,Fantasy
Better Man,7.6,22000,135.0,Fantasy
The Lord of the Rings: The War of the Rohirrim,6.3,28000,134.0,Fantasy
The Life of Chuck,7.7,459,110.0,Fantasy
Megalopolis,4.7,34000,138.0,Fantasy
The Watchers,5.7,55000,102.0,Fantasy
Beetlejuice Beetlejuice,6.7,143000,105.0,Fantasy
Inside Out 2,7.5,211000,96.0,Fantasy
The Crow,4.7,32000,111.0,Fantasy
Red One,6.3,137000,123.0,Fantasy
Transformers One,7.6,47000,104.0,Fantasy
Solo Leveling: ReAwakening,8.7,6800,121.0,Fantasy
Damsel,6.1,108000,110.0,Fantasy
IF,6.4,57000,104.0,Fantasy
Ghostbusters: Frozen Empire,6.1,92000,115.0,Fantasy
Godzilla x Kong: The New Empire,6.1,119000,115.0,Fantasy
Harold and the Purple Crayon,5.7,7900,90.0,Fantasy
Uglies,4.7,32000,100.0,Fantasy
Kung Fu Panda 4,6.3,67000,94.0,Fantasy
The Garfield Movie,5.7,24000,101.0,Fantasy
Kalki 2898 AD,7.0,66000,180.0,Fantasy
Descendants: The Rise of Red,4.7,6900,91.0,Fantasy
Rebel Moon - Part Two: The Scargiver,5.3,59000,122.0,Fantasy
Spellbound,5.7,6300,109.0,Fantasy
Hagen,6.1,1000,139.0,Fantasy
The End,5.5,1600,148.0,Fantasy
Monster Summer,5.7,3500,97.0,Fantasy
The Tearsmith,5.2,12000,103.0,Fantasy
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3700,82.0,Fantasy
Girl Haunts Boy,6.3,2800,100.0,Fantasy
Irish Wish,5.2,21000,93.0,Fantasy
Family Pack,5.5,8700,94.0,Fantasy
The Wonderful Story of Henry Sugar and Three More,7.1,6200,88.0,Fantasy
The American Society of Magical Negroes,3.7,12000,104.0,Fantasy
Orion and the Dark,6.3,17000,93.0,Fantasy
Dear Santa,5.4,18000,107.0,Fantasy
The Best Christmas Pageant Ever,6.8,6000,99.0,Fantasy
Bhool Bhulaiyaa 3,4.7,77000,158.0,Fantasy
The Balconettes,6.3,738,104.0,Fantasy
The Sand Castle,4.7,1600,98.0,Fantasy
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93.0,Fantasy
Pedro Páramo,6.3,2800,130.0,Fantasy
That Christmas,6.8,17000,91.0,Fantasy
Thelma the Unicorn,5.7,2900,93.0,Fantasy
A Dog's Will 2,6.3,2700,104.0,Fantasy
This Is Me... Now,4.1,7100,65.0,Fantasy
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94.0,Fantasy
The Tiger's Apprentice,5.7,2100,84.0,Fantasy
The Lost Tiger,7.8,34,90.0,Fantasy
Hot Frosty,5.3,14000,92.0,Fantasy
200% Wolf,6.0,1300,98.0,Fantasy
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300,104.0,Fantasy
Unspeakable: Beyond the Wall of Sleep,5.9,37,90.0,Fantasy
The Witch: Revenge,5.3,773,100.0,Fantasy
Timestalker,5.5,2800,89.0,Fantasy
Ultraman: Rising,6.9,6200,117.0,Fantasy
Angels Fallen: Warriors of Peace,4.9,5800,103.0,Fantasy
10 Lives,5.9,1800,88.0,Fantasy
Doraemon the Movie: Nobita's Earth Symphony,6.6,1400,115.0,Fantasy
Cinderella's Curse,3.3,1300,82.0,Fantasy
The Magician's Raincoat,5.6,87,0.0,Fantasy
The Thundermans Return,5.0,1800,70.0,Fantasy
Woody Woodpecker Goes to Camp,4.5,2500,100.0,Fantasy
Mars,8.9,19,84.0,Fantasy
Dan Da Dan: First Encounter,8.2,2600,83.0,Fantasy
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94.0,Fantasy
Harry Potter and the Stone,8.0,155,152.0,Fantasy
Buffalo Kids,6.6,632,93.0,Fantasy
Hanu Man,7.7,29000,158.0,Fantasy
Woodwalkers,5.4,347,103.0,Fantasy
Dragonkeeper,5.7,1600,98.0,Fantasy
Seven Cemeteries,4.5,497,84.0,Fantasy
Cinderella's Revenge,3.7,1100,85.0,Fantasy
Man and Witch: The Dance of a Thousand Steps,5.5,326,94.0,Fantasy
Kanguva,4.5,14000,152.0,Fantasy
Witch,5.1,1400,107.0,Fantasy
Cells at Work!,6.8,168,109.0,Fantasy
The Slave and the Sorcerer,6.7,37,86.0,Fantasy
Chantal in Fairyland,4.6,2600,118.0,Fantasy
Ghost Cat Anzu,6.5,700,97.0,Fantasy
Dalia y el Libro Rojo,6.7,47,107.0,Fantasy
Overlord: The Sacred Kingdom,7.0,699,135.0,Fantasy
Rebellious,6.0,160,94.0,Fantasy
A.R.M,7.1,8500,150.0,Fantasy
Robin and the Hoods,4.4,504,100.0,Fantasy
The Night Before Christmas in Wonderland,6.3,507,80.0,Fantasy
Tim Travers & the Time Travelers Paradox,6.9,273,95.0,Fantasy
Devil's Knight,5.4,777,90.0,Fantasy
Thangalaan,6.6,6500,156.0,Fantasy
Mononoke the Movie: The Phantom in the Rain,6.8,1200,89.0,Fantasy
School of Magical Animals 3,5.9,297,105.0,Fantasy
A Trip Elsewhere,5.6,94,93.0,Fantasy
Warchief,2.5,601,94.0,Fantasy
Lesbian Space Princess,8.1,96,87.0,Fantasy
Balestra,5.1,510,145.0,Fantasy
The Invisibles,5.9,453,111.0,Fantasy
Super-Charlie,6.3,104,80.0,Fantasy
Ryan's World the Movie: Titan Universe Adventure,1.8,640,80.0,Fantasy
"Love, Danielle",8.9,38,79.0,Fantasy
Sketch,8.3,42,92.0,Fantasy
Alienoid: The Return to the Future,6.5,2500,122.0,Fantasy
My Oni Girl,6.0,1700,112.0,Fantasy
Else,6.1,223,100.0,Fantasy
Snatched a Billionaire to Be My Husband,7.6,649,70.0,Fantasy
Spirit World,5.8,56,94.0,Fantasy
Shrek 5: The Contract - A Fan Made Film,7.0,18,84.0,Fantasy
White Snake: Afloat,6.9,429,133.0,Fantasy
Witch Hunter,5.2,21,80.0,Fantasy
The Keepers of the 5 Kingdoms,4.1,216,109.0,Fantasy
Orang Ikan,6.5,31,83.0,Fantasy
Panda Bear in Africa,5.5,308,84.0,Fantasy
The Goat,6.0,90,100.0,Fantasy
The Yin Yang Master Zero,5.7,257,112.0,Fantasy
The Legend Hunters,5.0,17,0.0,Fantasy
Assassin's Guild,3.7,111,103.0,Fantasy
Gaami,6.4,2000,147.0,Fantasy
The Phantom Warrior,2.4,552,119.0,Fantasy
Nonostante,5.9,67,93.0,Fantasy
Once Upon a Christmas Wish,6.1,313,90.0,Fantasy
Seven Seas Seven Hills,8.6,85,90.0,Fantasy
The Opera!,7.1,45,106.0,Fantasy
Barroz: Guardian of Treasures,3.5,943,155.0,Fantasy
Witchy Ways,6.9,35,0.0,Fantasy
Zak & Wowo: The Legend of Lendarys,5.7,86,85.0,Fantasy
Schneewittchen,0.0,0,70.0,Fantasy
Mayan,8.8,129,113.0,Fantasy
The Sisters,4.7,144,122.0,Fantasy
Phallacies,0.0,0,101.0,Fantasy
Vertical,5.2,115,111.0,Fantasy
SuperKlaus,4.3,191,88.0,Fantasy
The Woods Are Real,2.4,458,80.0,Fantasy
We Work for the Dead,6.7,505,84.0,Fantasy
Schirkoa: In Lies We Trust,5.6,153,103.0,Fantasy
The Casagrandes Movie,5.6,652,89.0,Fantasy
Heartsping : Teenieping of Love,6.9,21,0.0,Fantasy
Vidente por Acidente,5.0,72,93.0,Fantasy
Big City Greens the Movie: Spacecation,6.2,530,0.0,Fantasy
"Maya, donne-moi un titre",6.4,47,61.0,Fantasy
Dr. Sander's Sleep Cure,6.3,621,98.0,Fantasy
Empire Queen: The Golden Age of Magic,3.2,204,148.0,Fantasy
Spirit Riser,6.7,33,98.0,Fantasy
Elli and the Ghostly Ghost Train,5.0,89,86.0,Fantasy
The Vord,3.4,64,101.0,Fantasy
The Heartsmith,9.6,42,95.0,Fantasy
Fureru,6.4,23,107.0,Fantasy
Nyctophobia,7.6,1800,90.0,Fantasy
Dead Dead Demon's Dededede Destruction,7.0,136,120.0,Fantasy
Perdiendo el Juicio,7.2,17,0.0,Fantasy
King Baby,7.0,23,88.0,Fantasy
River of Ghosts,3.0,301,102.0,Fantasy
The Traveller,5.2,201,134.0,Fantasy
Universal Groove,5.4,169,74.0,Fantasy
My Redneck Neighbor: Chapter 2 - Let the Games Begin,0.0,0,55.0,Fantasy
Intercambiadas,6.5,50,97.0,Fantasy
Hiçbir Sey Normal Degil,6.6,53,71.0,Fantasy
Captain Avispa,5.8,172,96.0,Fantasy
A Song from the Dark,4.8,2200,105.0,Fantasy
The Fisherman,7.1,41,105.0,Fantasy
Last Song for You,7.3,89,110.0,Fantasy
Taisu Xilie,0.0,0,100.0,Fantasy
Enchanting Christmas,6.4,348,91.0,Fantasy
Nie Xiaoqian,6.4,15,112.0,Fantasy
Bhairadevi,8.8,43,134.0,Fantasy
Letuchiy korabl,3.8,290,100.0,Fantasy
"Die Heinzels: Neue Mützen, Neue Mission",6.4,70,76.0,Fantasy
Rita,5.8,264,107.0,Fantasy
Dragon Ball Z Kai,8.4,65,82.0,Fantasy
Bodegón con fantasmas,6.5,147,88.0,Fantasy
Perfect Blue,7.4,5,0.0,Fantasy
Dongeng Sang Kancil,8.1,77,99.0,Fantasy
Aalan,6.3,1100,137.0,Fantasy
Joachim and the Apocalypse,7.2,12,90.0,Fantasy
Kajolrekha,6.3,170,156.0,Fantasy
Letters at Christmas,3.7,168,84.0,Fantasy
Penguin Girl,6.8,5,98.0,Fantasy
Baba Yaga spasaet Novyy god,4.4,113,99.0,Fantasy
Fragments of Us,8.3,8,49.0,Fantasy
Videotheque,6.1,98,112.0,Fantasy
Hold Me Close,6.6,9,98.0,Fantasy
Oshi no Ko: The Final Act,7.7,92,129.0,Fantasy
The Time Travel Hills,5.8,68,82.0,Fantasy
Saint Young Men: Holy Men vs Demon Army,3.0,13,93.0,Fantasy
"Don't Cry, Butterfly",6.4,107,97.0,Fantasy
Don Dukun,7.0,48,98.0,Fantasy
Fidil Ghorm,7.8,7,86.0,Fantasy
Carol,8.3,47,115.0,Fantasy
Planet 7693,7.6,66,110.0,Fantasy
All In,5.6,84,103.0,Fantasy
The Sleeping Woman,5.2,546,110.0,Fantasy
The Evil Fairy Queen,5.6,45,90.0,Fantasy
UmroAyyar - A New Beginning,6.9,669,135.0,Fantasy
Noaptea lui Vlad,7.8,49,0.0,Fantasy
Hanami,6.8,95,96.0,Fantasy
Niko: Beyond the Northern Lights,6.3,298,86.0,Fantasy
Naag Bhoomi,5.7,7,130.0,Fantasy
The Epidemic,5.8,69,95.0,Fantasy
Princesa Adormecida,3.8,152,80.0,Fantasy
River Returns,6.8,12,109.0,Fantasy
The Seductress from Hell,7.0,16,102.0,Fantasy
Gypsy Moon,5.3,13,0.0,Fantasy
Sunce nikad vise,7.5,20,72.0,Fantasy
The Proud Princess,7.1,98,84.0,Fantasy
Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.0,26,71.0,Fantasy
Pechi,5.5,1500,110.0,Fantasy
Vampire Genesis,4.4,36,105.0,Fantasy
Traces of Love,6.5,901,105.0,Fantasy
The Secret of Pin-Up Island,7.4,92,107.0,Fantasy
My Future You,8.5,45,109.0,Fantasy
War of the Ninja Monsters: Jaron vs Goura,0.0,0,55.0,Fantasy
Un cuento de pescadores,7.2,36,103.0,Fantasy
Fuuto PI: Portrait of Kamen Rider Skull,7.5,30,82.0,Fantasy
Advent,7.5,6,119.0,Fantasy
Una ballena,6.0,47,108.0,Fantasy
Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9,83,138.0,Fantasy
Ognivo,5.4,213,105.0,Fantasy
Si Juki the Movie: Harta Pulau Monyet,6.0,114,107.0,Fantasy
Into the Mortal World,6.8,137,118.0,Fantasy
Mephisto,5.4,61,108.0,Fantasy
Il ladro di stelle cadenti,8.5,24,0.0,Fantasy
Princess Halle and the Jester,4.7,59,71.0,Fantasy
Nature Cat's Nature Movie Special Extraordinaire,7.2,17,0.0,Fantasy
Askepote,3.5,80,72.0,Fantasy
Domovyonok Kuzya,6.5,801,90.0,Fantasy
Les tempêtes,5.7,21,84.0,Fantasy
Blue Christmas,5.8,20,79.0,Fantasy
Spin the Wheel,6.0,87,102.0,Fantasy
Ebenezer: The Traveler,3.5,144,102.0,Fantasy
The Jester from Transylvania,4.8,37,102.0,Fantasy
The Worlds Divide,8.0,36,120.0,Fantasy
JAPA,7.5,15,110.0,Fantasy
Two Breaths,8.1,21,18.0,Fantasy
Wonderland,6.8,12,120.0,Fantasy
Nueva Tierra,7.9,29,123.0,Fantasy
Maxxie LaWow: Drag Super-shero,8.9,54,114.0,Fantasy
White Cobra Diamond Fox vs the Golden Eye,5.2,23,90.0,Fantasy
Cedric & Alysia,5.1,51,84.0,Fantasy
Malaikottai Vaaliban,6.0,4100,156.0,Fantasy
Snake Skin Beauty,4.1,19,83.0,Fantasy
Yao Shen Ling,6.7,66,93.0,Fantasy
The Gesuidouz,6.9,52,93.0,Fantasy
Fights Break Sphere 3,4.7,8,81.0,Fantasy
Double Tuckerr,5.0,1200,120.0,Fantasy
Mother Maker Lover Taker,6.1,32,99.0,Fantasy
Beast of Two Worlds,6.8,24,0.0,Fantasy
Respati,5.8,277,112.0,Fantasy
The Beads,6.3,11,100.0,Fantasy
The Ballad of Hortensia,6.7,124,94.0,Fantasy
Turma da Mônica Jovem: Reflexos do Medo,2.8,256,88.0,Fantasy
PinkCity: A Psychedelic Meditation,0.0,0,95.0,Fantasy
The Eye of the Salamander,7.9,20,81.0,Fantasy
Wedding Diaries,9.0,2000,121.0,Fantasy
Dead Dead Demon's Dededede Destruction Zenpen,7.0,137,120.0,Fantasy
Wicked Season,5.4,34,0.0,Fantasy
Paralokam,0.0,0,101.0,Fantasy
Ooru Peru Bhairavakona,5.7,1700,133.0,Fantasy
Samaya bolshaya luna,2.4,127,105.0,Fantasy
Achilles Curse and the Curse of Treasure,7.4,24,125.0,Fantasy
"Fallen Leaves, Broken Lighters",7.8,6,96.0,Fantasy
Hakkenden,5.8,71,149.0,Fantasy
Fushigi Dagashiya Zenitendo,7.9,15,103.0,Fantasy
Ienai Himitsu,6.9,59,115.0,Fantasy
Woof Woof Daddy,6.5,39,105.0,Fantasy
Iron Nest of the Moon,7.6,13,70.0,Fantasy
Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,29,50.0,Fantasy
"The Girl, the Hunter & the Firefly",7.3,19,98.0,Fantasy
Keo=peul-ji-ok,5.3,6,94.0,Fantasy
10/31 Part 4,5.6,17,87.0,Fantasy
Vincent,8.5,33,92.0,Fantasy
Vasilisa i khraniteli vremeni,3.1,66,98.0,Fantasy
Pushpaka Vimanam,5.6,16,137.0,Fantasy
Estación Wadley,0.0,0,96.0,Fantasy
The Umbrella Fairy,5.5,48,95.0,Fantasy
Princezna na hrásku,5.6,63,80.0,Fantasy
Brush of the God,6.5,13,74.0,Fantasy
Casa de Novia,0.0,0,110.0,Fantasy
The Journey of Flower,3.9,25,97.0,Fantasy
Dank Frank,0.0,0,81.0,Fantasy
Darker Than Night,4.8,23,82.0,Fantasy
Ella,9.3,63,91.0,Fantasy
Supersiostry,3.9,134,90.0,Fantasy
Couple in the Woods,5.8,30,65.0,Fantasy
Formula vody,4.3,27,86.0,Fantasy
Anxious.,0.0,0,95.0,Fantasy
Witches of God,7.6,16,73.0,Fantasy
RB&O Live: Alice's Adventures in Wonderland,0.0,0,205.0,Fantasy
Maya Puthagam,5.4,424,122.0,Fantasy
Salomé,0.0,0,115.0,Fantasy
Demon Host,5.9,15,80.0,Fantasy
