Title,Rating,Votes,Duration,Genre
The Substance,7.3,279000,141.0,Science fiction
Sonic the Hedgehog 3,6.9,52000,110.0,Science fiction
Venom: The Last Dance,6.0,107000,110.0,Science fiction
The Wild Robot,8.2,152000,102.0,Science fiction
Dune: Part Two,8.5,612000,166.0,Science fiction
Elevation,5.6,19000,91.0,Science fiction
Furiosa: A Mad Max Saga,7.5,280000,148.0,Science fiction
Deadpool & Wolverine,7.6,479000,128.0,Science fiction
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,1900,91.0,Science fiction
Borderlands,4.7,45000,101.0,Science fiction
The Life of Chuck,7.7,459,110.0,Science fiction
Alien: Romulus,7.1,237000,119.0,Science fiction
Subservience,5.4,26000,106.0,Science fiction
Despicable Me 4,6.2,62000,94.0,Science fiction
Megalopolis,4.7,34000,138.0,Science fiction
Kingdom of the Planet of the Apes,6.9,149000,145.0,Science fiction
Transformers One,7.6,47000,104.0,Science fiction
A Quiet Place: Day One,6.3,145000,99.0,Science fiction
It's What's Inside,6.6,41000,103.0,Science fiction
Ghostbusters: Frozen Empire,6.1,92000,115.0,Science fiction
Caddo Lake,6.8,40000,103.0,Science fiction
Madame Web,4.0,99000,116.0,Science fiction
Godzilla x Kong: The New Empire,6.1,119000,115.0,Science fiction
Wallace & Gromit: Vengeance Most Fowl,7.5,33000,82.0,Science fiction
Distant,5.7,3000,87.0,Science fiction
Y2K,4.9,9700,91.0,Science fiction
The Shrouds,5.8,733,119.0,Science fiction
Spaceman,5.7,42000,107.0,Science fiction
Uglies,4.7,32000,100.0,Science fiction
The Assessment,7.2,453,109.0,Science fiction
Arcadian,5.5,22000,92.0,Science fiction
Apocalypse Z: The Beginning of the End,6.1,19000,117.0,Science fiction
Kalki 2898 AD,7.0,66000,180.0,Science fiction
Slingshot,5.7,8700,108.0,Science fiction
Time Cut,5.0,18000,91.0,Science fiction
The Silent Planet,4.8,177,95.0,Science fiction
The Empire,5.2,1200,110.0,Science fiction
Atlas,5.6,55000,118.0,Science fiction
Survive,4.6,2000,90.0,Science fiction
Afraid,5.2,13000,84.0,Science fiction
Things Will Be Different,5.2,2300,102.0,Science fiction
Watchmen: Chapter I,7.0,6300,83.0,Science fiction
Love Me,5.2,2200,91.0,Science fiction
Rebel Moon - Part Two: The Scargiver,5.3,59000,122.0,Science fiction
The End,5.5,1600,148.0,Science fiction
We're All Gonna Die,8.4,79,110.0,Science fiction
Levels,5.0,1400,93.0,Science fiction
The Platform 2,4.9,39000,99.0,Science fiction
Die Alone,5.7,2600,91.0,Science fiction
Omni Loop,5.5,2700,112.0,Science fiction
Trapped Inn,2.8,886,115.0,Science fiction
Rich Flu,6.7,4200,116.0,Science fiction
Last Night on Earth,4.8,332,86.0,Science fiction
Sting,5.7,16000,91.0,Science fiction
Breathe,4.2,7000,93.0,Science fiction
Lumina,2.1,635,113.0,Science fiction
Agent Recon,2.4,658,85.0,Science fiction
V/H/S/Beyond,5.9,9200,114.0,Science fiction
Watchmen: Chapter II,7.0,2800,90.0,Science fiction
Megamind vs. The Doom Syndicate,2.5,5500,83.0,Science fiction
Turn Me On,5.6,436,99.0,Science fiction
South of Hope Street,6.5,1400,101.0,Science fiction
Moon Maidens 2,3.7,29,69.0,Science fiction
Code 8: Part II,5.7,16000,100.0,Science fiction
My Hero Academia: You're Next,7.0,1900,110.0,Science fiction
Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93.0,Science fiction
City Hunter,6.3,5500,102.0,Science fiction
Year 10,5.4,1800,96.0,Science fiction
The Greatest Hits,6.2,7200,94.0,Science fiction
Badland Hunters,5.9,12000,107.0,Science fiction
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300,94.0,Science fiction
Street Trash,4.4,744,85.0,Science fiction
Drive Back,4.7,287,94.0,Science fiction
Replicator,4.1,111,75.0,Science fiction
The Fix,4.6,1100,98.0,Science fiction
Arena Wars,5.0,2000,96.0,Science fiction
Guest from the Future,6.0,1100,141.0,Science fiction
Ick,5.6,196,87.0,Science fiction
Unspeakable: Beyond the Wall of Sleep,5.9,37,90.0,Science fiction
Timestalker,5.5,2800,89.0,Science fiction
Ultraman: Rising,6.9,6200,117.0,Science fiction
Can I Get a Witness,6.8,63,110.0,Science fiction
Wonderland,6.2,2200,113.0,Science fiction
Doraemon the Movie: Nobita's Earth Symphony,6.6,1400,115.0,Science fiction
Parallel,5.3,1900,88.0,Science fiction
Latency,4.2,1700,94.0,Science fiction
The Thundermans Return,5.0,1800,70.0,Science fiction
Mars,8.9,19,84.0,Science fiction
The Thinking Game,7.9,109,84.0,Science fiction
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94.0,Science fiction
Sentinel,2.6,750,90.0,Science fiction
Fight Another Day,5.1,326,97.0,Science fiction
Terminator: Skynet Rising,6.8,258,88.0,Science fiction
Alien: Rubicon,2.4,329,86.0,Science fiction
J Loop,5.3,157,99.0,Science fiction
X Files,1.9,60,74.0,Science fiction
Meanwhile on Earth,6.0,870,89.0,Science fiction
Alien Weekend,5.3,135,95.0,Science fiction
Test Screening,6.9,64,92.0,Science fiction
Teri Baaton Mein Aisa Uljha Jiya,6.2,54000,141.0,Science fiction
Baby Invasion,5.8,63,80.0,Science fiction
Peripheral,9.4,22,88.0,Science fiction
Maid Droid Origins,3.0,312,96.0,Science fiction
Another End,6.5,703,129.0,Science fiction
Uranus 2324,6.6,4700,130.0,Science fiction
Previously Saved Version,5.5,400,117.0,Science fiction
40 Acres,6.5,101,113.0,Science fiction
Light,2.7,1200,93.0,Science fiction
Daniela Forever,6.3,199,113.0,Science fiction
Futra Days,4.1,138,99.0,Science fiction
All the Lost Ones,3.8,226,105.0,Science fiction
War of the Worlds: Extinction,3.0,177,84.0,Science fiction
Tim Travers & the Time Travelers Paradox,6.9,273,95.0,Science fiction
"Canadian, Sniper",3.5,346,83.0,Science fiction
Justicia artificial,5.6,406,98.0,Science fiction
The Last Ronin,4.9,225,121.0,Science fiction
U Are the Universe,7.8,232,90.0,Science fiction
Black,7.1,2700,115.0,Science fiction
Black Eyed Susan,5.0,307,85.0,Science fiction
Bade Miyan Chote Miyan,3.8,39000,163.0,Science fiction
Bionic,4.3,1700,110.0,Science fiction
Going Viral,6.8,50,90.0,Science fiction
Desert Road,6.7,154,90.0,Science fiction
Lesbian Space Princess,8.1,96,87.0,Science fiction
Balestra,5.1,510,145.0,Science fiction
UI,6.9,5600,135.0,Science fiction
Escape from the 21st Century,6.5,811,98.0,Science fiction
The Invisibles,5.9,453,111.0,Science fiction
Ghost Planet,4.8,254,85.0,Science fiction
