Title,Rating,Votes,Duration,Genre
Moana 2,6.7,87000.0,100.0,adventure
Flow,7.9,58000.0,85.0,adventure
Gladiator II,6.6,216000.0,148.0,adventure
Sonic the Hedgehog 3,6.9,52000.0,110.0,adventure
Venom: The Last Dance,6.0,107000.0,110.0,adventure
Dune: Part Two,8.5,612000.0,166.0,adventure
Mufasa: The Lion King,6.6,47000.0,118.0,adventure
The Lord of the Rings: The War of the Rohirrim,6.3,28000.0,134.0,adventure
Furiosa: A Mad Max Saga,7.5,280000.0,148.0,adventure
Deadpool & Wolverine,7.6,479000.0,128.0,adventure
The Day the Earth Blew Up: A Looney Tunes Movie,7.0,1900.0,91.0,adventure
Borderlands,4.7,45000.0,101.0,adventure
Paddington in Peru,6.7,17000.0,106.0,adventure
Night of the Zoopocalypse,6.3,324.0,91.0,adventure
Twisters,6.5,160000.0,122.0,adventure
Civil War,7.0,232000.0,109.0,adventure
Despicable Me 4,6.2,62000.0,94.0,adventure
The Count of Monte-Cristo,7.6,32000.0,178.0,adventure
Inside Out 2,7.5,211000.0,96.0,adventure
Kingdom of the Planet of the Apes,6.9,149000.0,145.0,adventure
Red One,6.3,137000.0,123.0,adventure
Transformers One,7.6,47000.0,104.0,adventure
Solo Leveling: ReAwakening,8.7,6800.0,121.0,adventure
Bad Boys: Ride or Die,6.5,98000.0,115.0,adventure
Love Lies Bleeding,6.6,56000.0,104.0,adventure
Damsel,6.1,108000.0,110.0,adventure
Ghostbusters: Frozen Empire,6.1,92000.0,115.0,adventure
The Return,6.2,7400.0,116.0,adventure
Madame Web,4.0,99000.0,116.0,adventure
Godzilla x Kong: The New Empire,6.1,119000.0,115.0,adventure
Freaky Tales,6.4,364.0,106.0,adventure
Wallace & Gromit: Vengeance Most Fowl,7.5,33000.0,82.0,adventure
Harold and the Purple Crayon,5.7,7900.0,90.0,adventure
Attack on Titan the Movie: The Last Attack,9.3,14000.0,145.0,adventure
Spaceman,5.7,42000.0,107.0,adventure
Uglies,4.7,32000.0,100.0,adventure
Kung Fu Panda 4,6.3,67000.0,94.0,adventure
The Garfield Movie,5.7,24000.0,101.0,adventure
Hitpig,5.1,829.0,86.0,adventure
Kalki 2898 AD,7.0,66000.0,180.0,adventure
Descendants: The Rise of Red,4.7,6900.0,91.0,adventure
The Empire,5.2,1200.0,110.0,adventure
Atlas,5.6,55000.0,118.0,adventure
Survive,4.6,2000.0,90.0,adventure
Rebel Moon - Part Two: The Scargiver,5.3,59000.0,122.0,adventure
Spellbound,5.7,6300.0,109.0,adventure
Arthur the King,7.0,34000.0,107.0,adventure
Winner,6.5,2300.0,103.0,adventure
Monster Summer,5.7,3500.0,97.0,adventure
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7,3700.0,82.0,adventure
My Penguin Friend,6.7,4700.0,97.0,adventure
Family Pack,5.5,8700.0,94.0,adventure
Lost on a Mountain in Maine,6.1,1100.0,98.0,adventure
No Way Up,4.6,10000.0,90.0,adventure
The Unholy Trinity,7.9,49.0,93.0,adventure
Bookworm,6.0,1800.0,103.0,adventure
Megamind vs. The Doom Syndicate,2.5,5500.0,83.0,adventure
The Goat Life,7.1,47000.0,173.0,adventure
Orion and the Dark,6.3,17000.0,93.0,adventure
The Best Christmas Pageant Ever,6.8,6000.0,99.0,adventure
Something in the Water,4.1,4500.0,86.0,adventure
Sasquatch Sunset,5.4,5300.0,88.0,adventure
A Sloth Story,5.7,176.0,90.0,adventure
"I, the Executioner",6.3,1600.0,118.0,adventure
My Hero Academia: You're Next,7.0,1900.0,110.0,adventure
Justice League: Crisis on Infinite Earths - Part One,6.2,8300.0,93.0,adventure
River of Blood,5.4,1500.0,86.0,adventure
That Christmas,6.8,17000.0,91.0,adventure
Thelma the Unicorn,5.7,2900.0,93.0,adventure
Badland Hunters,5.9,12000.0,107.0,adventure
The Courier,6.0,4300.0,101.0,adventure
Justice League: Crisis on Infinite Earths - Part Three,6.1,4300.0,94.0,adventure
The Tiger's Apprentice,5.7,2100.0,84.0,adventure
The Lost Tiger,7.8,34.0,90.0,adventure
The Price of Money: A Largo Winch Adventure,5.1,1100.0,100.0,adventure
No Chains No Masters,6.4,477.0,98.0,adventure
Guest from the Future,6.0,1100.0,141.0,adventure
200% Wolf,6.0,1300.0,98.0,adventure
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300.0,104.0,adventure
The Wages of Fear,4.6,4000.0,104.0,adventure
Unspeakable: Beyond the Wall of Sleep,5.9,37.0,90.0,adventure
Operation Blood Hunt,3.4,455.0,93.0,adventure
Ultraman: Rising,6.9,6200.0,117.0,adventure
Angels Fallen: Warriors of Peace,4.9,5800.0,103.0,adventure
Cult Killer,4.8,2700.0,105.0,adventure
Doraemon the Movie: Nobita's Earth Symphony,6.6,1400.0,115.0,adventure
Golden Kamuy,6.3,2500.0,127.0,adventure
The Magician's Raincoat,5.6,87.0,0.0,adventure
Autumn and the Black Jaguar,5.6,961.0,100.0,adventure
Manjummel Boys,8.2,27000.0,135.0,adventure
Woody Woodpecker Goes to Camp,4.5,2500.0,100.0,adventure
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200.0,94.0,adventure
WWII: Operation Phoenix,6.6,63.0,106.0,adventure
Anaconda,4.9,601.0,84.0,adventure
My Fathers' Daughter,6.6,71.0,78.0,adventure
Buffalo Kids,6.6,632.0,93.0,adventure
Hanu Man,7.7,29000.0,158.0,adventure
Dragonkeeper,5.7,1600.0,98.0,adventure
The Forest,6.6,18.0,77.0,adventure
The Firing Squad,5.4,5000.0,93.0,adventure
Sixty Minutes,5.7,5100.0,88.0,adventure
Escape,6.4,1900.0,94.0,adventure
The Last Redemption,6.7,3200.0,122.0,adventure
Crayon Shin-chan: Ora's Dinosaur Diary,6.5,310.0,106.0,adventure
My Freaky Family,6.4,388.0,86.0,adventure
Meanwhile on Earth,6.0,870.0,89.0,adventure
Spiders on a Plane,5.7,360.0,78.0,adventure
Bambi: A Tale of Life in the Woods,5.7,149.0,85.0,adventure
Now or Never!,2.1,17000.0,0.0,adventure
A Legend,4.7,855.0,129.0,adventure
Man and Witch: The Dance of a Thousand Steps,5.5,326.0,94.0,adventure
Kanguva,4.5,14000.0,152.0,adventure
Cells at Work!,6.8,168.0,109.0,adventure
The Slave and the Sorcerer,6.7,37.0,86.0,adventure
Saint-Exupéry,5.5,237.0,98.0,adventure
