Title,Rating,Votes,Duration,Genre
A Complete Unknown,7.4,59000,141.0,Biography
I'm Still Here,8.4,94000,137.0,Biography
Queen of the Ring,7.0,777,140.0,Biography
The Apprentice,7.1,50000,122.0,Biography
William Tell,5.8,1700,133.0,Biography
Better Man,7.6,22000,135.0,Biography
Saturday Night,6.9,29000,109.0,Biography
Queer,6.5,18000,137.0,Biography
Maria,6.4,18000,124.0,Biography
Reagan,6.2,11000,141.0,Biography
Nr. 24,7.5,14000,111.0,Biography
Bonhoeffer: Pastor. Spy. Assassin.,6.3,3400,133.0,Biography
Unfrosted,5.5,34000,97.0,Biography
The Fire Inside,6.8,2100,109.0,Biography
Ordinary Angels,7.4,15000,118.0,Biography
Back to Black,6.3,26000,122.0,Biography
Young Woman and the Sea,7.5,17000,129.0,Biography
Joy,7.1,8900,115.0,Biography
Faith of Angels,5.9,170,98.0,Biography
Winner,6.5,2300,103.0,Biography
Audrey's Children,8.7,65,110.0,Biography
Bob Marley: One Love,6.2,34000,107.0,Biography
Piece by Piece,6.9,5100,93.0,Biography
Cabrini,7.3,8400,142.0,Biography
Rob Peace,6.6,1800,120.0,Biography
Scoop,6.5,20000,102.0,Biography
The Remarkable Life of Ibelin,8.2,12000,103.0,Biography
Being Maria,6.1,527,100.0,Biography
Midas Man,6.4,1500,112.0,Biography
Monsieur Aznavour,7.3,2100,133.0,Biography
Amaran,8.2,18000,167.0,Biography
Super/Man: The Christopher Reeve Story,8.0,8700,104.0,Biography
One to One: John & Yoko,6.8,71,100.0,Biography
Maharaj,6.5,15000,131.0,Biography
Harbin,6.5,485,108.0,Biography
Chhava,8.6,2200,51.0,Biography
Goebbels and the Führer,6.7,1900,135.0,Biography
"From Hilde, with Love",6.9,761,125.0,Biography
El 47,7.2,3100,110.0,Biography
Boléro,6.6,737,120.0,Biography
Luther: Never Too Much,8.2,780,101.0,Biography
Shirley,6.2,3300,117.0,Biography
Race for Glory: Audi vs. Lancia,5.8,4600,109.0,Biography
Papa,7.5,291,131.0,Biography
Ravens,8.3,50,117.0,Biography
Niki,5.9,308,98.0,Biography
Cookster: The Darkest Days,8.3,35,119.0,Biography
Amar Singh Chamkila,7.8,16000,145.0,Biography
Avicii - I'm Tim,7.8,6600,95.0,Biography
Freedom,5.9,1300,110.0,Biography
Srikanth,7.4,14000,134.0,Biography
Liza: A Truly Terrific Absolutely True Story,8.2,84,104.0,Biography
The Firing Squad,5.4,5000,93.0,Biography
The Ballad of Davy Crockett,4.6,244,96.0,Biography
Elton John: Never Too Late,6.5,1800,102.0,Biography
Limonov: The Ballad of Eddie,6.0,732,138.0,Biography
Now or Never!,2.1,17000,0.0,Biography
Biggest Heist Ever,6.1,1400,85.0,Biography
Pavements,7.1,146,128.0,Biography
Quisling: The Final Days,7.1,1000,146.0,Biography
Music by John Williams,8.2,4600,105.0,Biography
Saint-Exupéry,5.5,237,98.0,Biography
Chandu Champion,7.8,34000,142.0,Biography
Riefenstahl,7.2,435,115.0,Biography
Jim Henson: Idea Man,7.7,3800,111.0,Biography
The Bibi Files,7.5,998,115.0,Biography
Prodigieuses,7.0,106,101.0,Biography
Drazen,6.6,1200,100.0,Biography
Atatürk II: 1881-1919,8.9,1900,141.0,Biography
Maidaan,7.9,23000,181.0,Biography
The Shamrock Spitfire,5.1,470,108.0,Biography
Gundi: Legend of Love,9.0,5400,166.0,Biography
I Am: Celine Dion,7.7,7800,103.0,Biography
ZEF: The Story of Die Antwoord,7.4,771,90.0,Biography
"Sarah Bernhardt, la divine",6.1,156,98.0,Biography
Becoming Hitchcock: The Legacy of Blackmail,7.3,235,72.0,Biography
The Beach Boys,7.1,2100,113.0,Biography
Spyral,8.6,18,83.0,Biography
The Great Ambition,7.2,667,123.0,Biography
Never Look Away,7.2,247,85.0,Biography
John Cranko,7.1,169,133.0,Biography
Samia,6.9,122,102.0,Biography
"Disco, Ibiza, Locomia",6.0,1500,104.0,Biography
The Sidemen Story,6.7,1700,99.0,Biography
Stelios,7.3,1400,132.0,Biography
Beautiful Rebel,6.3,974,112.0,Biography
Oxana,8.2,8,103.0,Biography
Becoming Madonna,7.0,158,91.0,Biography
La casa,7.0,906,83.0,Biography
Faye,7.1,3000,91.0,Biography
The Truth vs. Alex Jones,7.5,3000,121.0,Biography
Janis Ian: Breaking Silence,8.6,35,114.0,Biography
Diddy: Summit to Plummet,2.2,199,60.0,Biography
Federer: Twelve Final Days,7.3,4100,88.0,Biography
The Life and Deaths of Christopher Lee,7.2,431,99.0,Biography
Simona Kossak,6.1,278,100.0,Biography
"Enescu, Skinned Alive",7.3,55,0.0,Biography
Nahir,4.7,1100,122.0,Biography
Blue Road: The Edna O'Brien Story,8.3,37,99.0,Biography
Swatantrya Veer Savarkar,7.7,17000,176.0,Biography
A Bronx Tale: The Original One Man Show,8.1,14,0.0,Biography
National Theatre Live: Nye,8.0,255,160.0,Biography
Greenwood Rising: The Rise of Black Wall Street,7.1,88,0.0,Biography
Vindication Swim,6.0,200,98.0,Biography
